iter	RMSE
0	1.051281647
1	1.024069969
2	0.9995439475
3	0.977775777
4	0.958806799
5	0.9425632904
6	0.9275064039
7	0.9140283967
8	0.9022842797
9	0.8918111911
10	0.8815580222
11	0.8728632311
12	0.8642610415
13	0.8571582041
14	0.849467389
15	0.8421187148
16	0.8361355863
17	0.8291755637
18	0.8238412602
19	0.8188566803
20	0.8141914974
21	0.8098546929
22	0.8031094592
23	0.7978745975
24	0.7939411768
25	0.7904600136
26	0.7871758889
27	0.782013515
28	0.7787576111
29	0.7759133236
30	0.7720201858
31	0.7688099205
32	0.7658298222
33	0.7624134862
34	0.7587478786
35	0.7550338085
36	0.7517187922
37	0.7491783758
38	0.7468994559
39	0.7438465475
40	0.7417101962
41	0.7384527731
42	0.7354887374
43	0.7320086632
44	0.7298877602
45	0.727024121
46	0.7244949231
47	0.7219057835
48	0.7198302632
49	0.7172487496
50	0.7146613813
51	0.7124568666
52	0.7107265602
53	0.7092376641
54	0.7075174543
55	0.7049691327
56	0.7029342711
57	0.701338347
58	0.6991855378
59	0.6970429072
60	0.6950045994
61	0.6925823024
62	0.6907707349
63	0.6888989613
64	0.6873551186
65	0.6859572277
66	0.6842748276
67	0.6827278757
68	0.6808265719
69	0.6789294111
70	0.6769685715
71	0.6753578002
72	0.673829178
73	0.6720467253
74	0.6709705609
75	0.6697279607
76	0.6683657239
77	0.6668587262
78	0.6657506762
79	0.6640729837
80	0.662500388
81	0.6609115581
82	0.6592213267
83	0.6577911726
84	0.6563930195
85	0.6551333006
86	0.6537903829
87	0.652609863
88	0.6513510761
89	0.6497802892
90	0.6484637602
91	0.647441452
92	0.6463217701
93	0.6449067526
94	0.6437730677
95	0.6424830949
96	0.64090719
97	0.6393479077
98	0.6377702708
99	0.6366296202
100	0.6356663316
101	0.6344992752
102	0.6337686821
103	0.632850674
104	0.6321386603
105	0.6314865198
106	0.629960424
107	0.6285701916
108	0.6270516282
109	0.6261428937
110	0.6248964585
111	0.6240465297
112	0.6230239237
113	0.6217165793
114	0.6205979301
115	0.6196820208
116	0.6186905423
117	0.6176611937
118	0.6164524566
119	0.615340538
120	0.6144231771
121	0.6135421898
122	0.6125382058
123	0.6116336243
124	0.6102995555
125	0.6090626166
126	0.6080469557
127	0.6073056023
128	0.6060969876
129	0.605010452
130	0.6041054861
131	0.6032389523
132	0.6022580884
133	0.601215765
134	0.600192982
135	0.5994039723
136	0.598380181
137	0.5976446254
138	0.5966505442
139	0.5956795803
140	0.5947237376
141	0.5938124155
142	0.5931411542
143	0.592150441
144	0.591569314
145	0.5907435854
146	0.5899302623
147	0.5891690537
148	0.5881802646
149	0.5873798941
150	0.5866699447
151	0.5859097996
152	0.5850022451
153	0.584175734
154	0.583495902
155	0.5825869685
156	0.5816784014
157	0.5810029117
158	0.5801548328
159	0.579442975
160	0.5789546642
161	0.5781715463
162	0.5773672678
163	0.5766108049
164	0.5759176755
165	0.5751854176
166	0.574506242
167	0.5736693116
168	0.57297451
169	0.5722172998
170	0.5714530754
171	0.5706626112
172	0.5701583194
173	0.5694308595
174	0.5686385674
175	0.5679212757
176	0.5671770173
177	0.566591446
178	0.5659689782
179	0.5652993625
180	0.564636173
181	0.5641623232
182	0.5636519571
183	0.5627777342
184	0.562147527
185	0.5614662928
186	0.5608745024
187	0.560260647
188	0.5595666099
189	0.558987177
190	0.5583809582
191	0.5576713355
192	0.5569760845
193	0.5562919857
194	0.5557260769
195	0.5551853429
196	0.5545221306
197	0.5539356585
198	0.5533617436
199	0.5527534267
200	0.5523110243
201	0.5517972498
202	0.5510730597
203	0.5505799396
204	0.5500432801
205	0.5493701175
206	0.5489585976
207	0.54850176
208	0.5478794254
209	0.5474094107
210	0.546983307
211	0.5464807678
212	0.5460779263
213	0.5454628785
214	0.5449197372
215	0.5441834689
216	0.5436350249
217	0.5430834635
218	0.542534551
219	0.5419610896
220	0.5414703554
221	0.5409368987
222	0.5403636447
223	0.539904669
224	0.5393824533
225	0.5389127613
226	0.5384873896
227	0.5379696062
228	0.5374348398
229	0.537036822
230	0.5363969093
231	0.5358879791
232	0.535232479
233	0.5346905502
234	0.5341249442
235	0.5337090993
236	0.5332644313
237	0.5329069371
238	0.532450341
239	0.5320632746
240	0.5316196838
241	0.5312038762
242	0.5307482889
243	0.5303918474
244	0.5300227419
245	0.5295793684
246	0.5290733478
247	0.5286549142
248	0.5280007797
249	0.5274819907
250	0.5270186621
251	0.526572783
252	0.5261078546
253	0.5256930462
254	0.5252795181
255	0.5243977335
256	0.5240405475
257	0.5237169191
258	0.52310105
259	0.5226857896
260	0.5222782416
261	0.5218653915
262	0.5214605386
263	0.5210177189
264	0.5205958065
265	0.5201913079
266	0.5198647806
267	0.5194184299
268	0.5188756056
269	0.5185209449
270	0.518143714
271	0.517691619
272	0.517226337
273	0.5168516562
274	0.5163040717
275	0.5159202869
276	0.5156156239
277	0.515299469
278	0.5149196812
279	0.5144635724
280	0.5141131166
281	0.5137397154
282	0.5134068494
283	0.5131519954
284	0.5128083526
285	0.5122920725
286	0.5118943441
287	0.5115362112
288	0.5111520763
289	0.5108064381
290	0.5102338077
291	0.5098816888
292	0.5094989482
293	0.50893909
294	0.5085683963
295	0.5082180487
296	0.507750753
297	0.5074123258
298	0.5069384203
299	0.5066673141
300	0.5063703943
301	0.5060443575
302	0.505619528
303	0.5053477472
304	0.5050017494
305	0.5045767356
306	0.5041506181
307	0.5037369409
308	0.5034164698
309	0.5030825925
310	0.5027247759
311	0.5023828974
312	0.502145769
313	0.5017869891
314	0.5014242161
315	0.5011424649
316	0.5006288795
317	0.4999486051
318	0.4995420689
319	0.4991860893
320	0.4988177775
321	0.4985845843
322	0.4982571834
323	0.4976761485
324	0.4973876029
325	0.4969948296
326	0.4966943461
327	0.4963801707
328	0.4959610498
329	0.4956625682
330	0.495380327
331	0.4951509206
332	0.4947956911
333	0.4944379114
334	0.4941689129
335	0.4939392491
336	0.4934988872
337	0.4931348203
338	0.4928938146
339	0.4925259836
340	0.4922618026
341	0.4920868213
342	0.4918009181
343	0.4914644419
344	0.4912527997
345	0.4909122751
346	0.4906593602
347	0.4902176501
348	0.489926317
349	0.4896431606
350	0.4893149135
351	0.4889699406
352	0.4885973561
353	0.4881339816
354	0.4878070969
355	0.4874888857
356	0.4873032239
357	0.4869766202
358	0.4867040406
359	0.4864703922
360	0.4862160956
361	0.4858610936
362	0.485591233
363	0.4853140887
364	0.4850330464
365	0.4847679222
366	0.4844459282
367	0.4842032898
368	0.483881844
369	0.4836163573
370	0.4832959211
371	0.4830247356
372	0.4827350648
373	0.4824545622
374	0.4822046993
375	0.4819369078
376	0.4817178043
377	0.4814918391
378	0.4809874084
379	0.4807670913
380	0.4804557757
381	0.4800641995
382	0.4798128837
383	0.4794833208
384	0.4792749915
385	0.479032766
386	0.478689982
387	0.4784378511
388	0.4782069135
389	0.4780122837
390	0.4777414833
391	0.4774126148
392	0.47709434
393	0.4768669592
394	0.4766277442
395	0.4764049683
396	0.4761687723
397	0.4759115837
398	0.4756700001
399	0.4754543242
400	0.475212882
401	0.4749484923
402	0.4746168016
