iter	Passed	Remaining
0	7	7689
1	14	7287
2	20	6959
3	27	6917
4	35	7089
5	43	7284
6	51	7372
7	60	7529
8	69	7637
9	78	7811
10	86	7780
11	93	7679
12	99	7580
13	105	7458
14	112	7396
15	120	7424
16	129	7463
17	136	7473
18	144	7482
19	152	7489
20	161	7513
21	169	7551
22	177	7554
23	186	7581
24	194	7584
25	202	7581
26	210	7591
27	227	7895
28	236	7908
29	244	7897
30	254	7953
31	261	7904
32	271	7956
33	279	7951
34	288	7966
35	298	7991
36	307	7998
37	320	8119
38	332	8191
39	339	8157
40	348	8143
41	355	8109
42	364	8105
43	374	8137
44	381	8086
45	389	8077
46	396	8045
47	403	7993
48	409	7945
49	417	7923
50	423	7878
51	430	7843
52	436	7804
53	444	7792
54	451	7763
55	458	7727
56	464	7691
57	470	7649
58	477	7611
59	485	7604
60	494	7615
61	502	7594
62	509	7576
63	516	7555
64	523	7537
65	530	7507
66	536	7477
67	543	7451
68	549	7417
69	557	7405
70	564	7381
71	571	7367
72	577	7331
73	583	7298
74	590	7279
75	595	7242
76	601	7212
77	609	7200
78	614	7167
79	621	7145
80	627	7122
81	633	7095
82	640	7077
83	646	7050
84	653	7035
85	661	7025
86	666	6998
87	674	6986
88	681	6973
89	687	6951
90	695	6946
91	701	6922
92	709	6916
93	718	6924
94	727	6931
95	736	6931
96	742	6914
97	750	6905
98	759	6911
99	769	6921
100	777	6921
101	785	6915
102	793	6908
103	802	6911
104	811	6916
105	818	6903
106	827	6904
107	837	6918
108	845	6909
109	853	6902
110	860	6889
111	869	6896
112	877	6891
113	885	6880
114	892	6866
115	899	6853
116	905	6835
117	912	6821
118	918	6803
119	925	6789
120	931	6769
121	938	6753
122	945	6742
123	952	6727
124	958	6711
125	964	6691
126	972	6682
127	979	6671
128	986	6662
129	993	6650
130	999	6630
131	1005	6609
132	1011	6590
133	1018	6581
134	1024	6567
135	1031	6551
136	1039	6547
137	1048	6546
138	1055	6538
139	1063	6532
140	1070	6523
141	1079	6524
142	1088	6525
143	1096	6515
144	1104	6509
145	1112	6505
146	1120	6502
147	1127	6492
148	1135	6486
149	1145	6493
150	1154	6488
151	1163	6493
152	1170	6482
153	1178	6472
154	1187	6472
155	1196	6471
156	1203	6463
157	1211	6458
158	1219	6451
159	1228	6450
160	1234	6431
161	1241	6419
162	1248	6412
163	1255	6401
164	1262	6390
165	1268	6373
166	1275	6360
167	1281	6347
168	1288	6334
169	1294	6319
170	1300	6303
171	1306	6288
172	1312	6271
